"Summary Statistics for  Transportation and Storage Establishments"

"Industry Description","2016 Number of Establishments All Employment Sizes","2016 Number of Establishments Total Employment of 20 and Over","2016 Number of Establishments Total Employment of Less than 20","2016 Total Employment All Employment Sizes","2016 Total Employment Total Employment of 20 and Over","2016 Total Employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total Income All Employment Sizes","2016 Total Income Total Employment of 20 and Over","2016 Total Income Total Employment of Less than 20","2016 Total Expense All Employment Sizes","2016 Total Expense Total Employment of 20 and Over","2016 Total Expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other Expense All Employment Sizes","2016 Other Expense Total Employment of 20 and Over","2016 Other Expense Total Employment of Less than 20","2016 Value Added All Employment Sizes","2016 Value Added Total Employment of 20 and Over","2016 Value Added Total Employment of Less than 20","2016 Gross Additions to Fixed Assets All Employment Sizes","2016 Gross Additions to Fixed Assets Total Employment of 20 and Over","2016 Gross Additions to Fixed Assets Total Employment of Less than 20","2016 Change in Inventories All Employment Sizes","2016 Change in Inventories Total Employment of 20 and Over","2016 Change in Inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce Sales All Employment Sizes","2016 E-Commerce Sales Total Employment of 20 and Over","2016 E-Commerce Sales Total Employment of Less than 20"
"Transportation and Storage",2860,1202,1658,191817,175155,16662,189220,172894,16326,572202324,544643014,27559310,489105715,466188214,22917501,60282034,57456751,2825284,428823680,408731463,20092217,201619988,191173976,10446012,28507288,27514407,992881,74366,60093,14273,9537644,9509799,27845,28745545,28745545,0
"..Inter-urban passenger railway transport",c,c,..,c,c,..,c,c,..,c,c,..,c,c,..,c,c,..,c,c,..,c,c,..,c,c,..,c,c,..,c,c,..,c,c,..
"..Urban and suburban railway transport",3,3,..,3311,3311,..,3311,3311,..,3921180,3921180,..,8679529,8679529,..,926347,926347,..,7753182,7753182,..,739398,739398,..,872782,872782,..,-56982,-56982,..,9137997,9137997,..,0,0,..
"..Inter-urban bus line operation",60,50,10,19224,19150,73,19157,19103,54,15098492,15069457,29035,13818080,13795555,22525,3604977,3600629,4348,10213103,10194926,18178,6623515,6612038,11477,1680148,1679966,182,191653,191653,0,0,0,0,0,0,0
"..Urban and suburban bus line operation",17,s,s,1051,s,s,1051,s,s,586536,s,s,567714,s,s,136537,s,s,431178,s,s,293089,s,s,62962,s,s,-685,s,s,0,s,s,0,s,s
"..Local bus line operation",161,74,87,10126,9189,937,9934,9017,917,6718986,6509938,209049,6141134,5956768,184366,2064270,1996106,68164,4076864,3960662,116202,3642005,3522958,119047,500535,494897,5638,-175824,-176157,334,0,0,0,0,0,0
"..Chartered buses operation (e.g. tourist buses)",56,15,41,2170,1830,340,2169,1829,340,1576514,1103893,472620,1459662,995794,463868,356431,283172,73259,1103231,712622,390609,810028,656270,153759,178268,178268,0,263,263,0,0,0,0,0,0,0
"..Operation of school buses/shuttle",20,12,8,1120,1028,92,1115,1025,90,1090898,1025599,65299,1031333,974281,57053,206783,192711,14073,824550,781570,42980,379800,347463,32337,5771,5771,0,1387,-8,1395,0,0,0,0,0,0
"..Transport via buses, n.e.c.",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Public utility cars and taxicabs operation",77,29,48,1342,1104,238,1256,1018,238,755807,663608,92200,664044,587428,76616,130373,112398,17975,533671,475030,58641,390469,337229,53240,85944,85860,84,3501,3501,0,0,0,0,0,0,0
